# page_id, page_title, page_namespace, rev_id, rev_timestamp, rev_datetime, text_id, txt, txt_ru
'4961', 'Прил_ru_1a', '10', '8020', '20211009195942', '2021/10/09 19:59:42', '8007', '<noinclude>{{semiprotected|nocat=1}}</noinclude>{{прил\n|nom-sg-m={{{основа}}}ый\n|nom-sg-n={{{основа}}}ое\n|nom-sg-f={{{основа}}}ая\n|nom-pl={{{основа}}}ые\n|gen-sg-m={{{основа}}}ого\n|gen-sg-n={{{основа}}}ого\n|gen-sg-f={{{основа}}}ой\n|gen-pl={{{основа}}}ых\n|dat-sg-m={{{основа}}}ому\n|dat-sg-n={{{основа}}}ому\n|dat-sg-f={{{основа}}}ой\n|dat-pl={{{основа}}}ым\n|acc-sg-m-a={{{основа}}}ого\n|acc-sg-m-n={{{основа}}}ый\n|acc-sg-n={{{основа}}}ое\n|acc-sg-f={{{основа}}}ую\n|acc-pl-a={{{основа}}}ых\n|acc-pl-n={{{основа}}}ые\n|ins-sg-m={{{основа}}}ым\n|ins-sg-n={{{основа}}}ым\n|ins-sg-f={{{основа}}}ой {{{основа}}}ою\n|ins-pl={{{основа}}}ыми\n|prp-sg-m={{{основа}}}ом\n|prp-sg-n={{{основа}}}ом\n|prp-sg-f={{{основа}}}ой\n|prp-pl={{{основа}}}ых\n|краткая={{{краткая|}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа}}}}}}\n|srt-sg-n={{{srt-sg-n|{{{основа}}}о}}}\n|srt-sg-f={{{srt-sg-f|{{{основа}}}а}}}\n|srt-pl={{{srt-pl|{{{основа}}}ы}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n|суфф={{{суфф|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|1a}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]\n== Параметры ==\n* \'\'\'основа\'\'\': слово без окончания\n* \'\'\'основа1, основа2\'\'\': дополнительные варианты основы краткой формы\n* \'\'\'краткая\'\'\': если параметр указан, то краткая форма существует\n* \'\'\'часть речи\'\'\': часть речи, склоняющаяся по адъективной форме\n* \'\'\'Категория\'\'\': категория по склонению\n* \'\'\'степень\'\'\': форма сравнительной степени\n* \'\'\'anim\'\'\': одушевлённость (\'\'yes\'\'/\'\'no\'\')\n* \'\'\'type\'\'\': тип по Зализняку\n* \'\'\'дореф\'\'\': написание в дореформенной орфографии (только встречающиеся в текстах; словарный вариант предпочтительнее)\n* \'\'\'nom/non/nof\'\'\': если соответствующий параметр указан, то форма соответственно мужского/среднего/женского рода не используется</noinclude>', NULL
'4966', 'Прил_ru_2a', '10', '8026', '20211009222124', '2021/10/09 22:21:24', '8013', '{{прил\n|nom-sg-m={{{основа}}}ий\n|nom-sg-n={{{основа}}}ее\n|nom-sg-f={{{основа}}}яя\n|nom-pl={{{основа}}}ие\n|gen-sg-m={{{основа}}}его\n|gen-sg-n={{{основа}}}его\n|gen-sg-f={{{основа}}}ей\n|gen-pl={{{основа}}}их\n|dat-sg-m={{{основа}}}ему\n|dat-sg-n={{{основа}}}ему\n|dat-sg-f={{{основа}}}ей\n|dat-pl={{{основа}}}им\n|acc-sg-m-a={{{основа}}}его\n|acc-sg-m-n={{{основа}}}ий\n|acc-sg-n={{{основа}}}ее\n|acc-sg-f={{{основа}}}юю\n|acc-pl-a={{{основа}}}их\n|acc-pl-n={{{основа}}}ие\n|ins-sg-m={{{основа}}}им\n|ins-sg-n={{{основа}}}им\n|ins-sg-f={{{основа}}}ей {{{основа}}}ею\n|ins-pl={{{основа}}}ими\n|prp-sg-m={{{основа}}}ем\n|prp-sg-n={{{основа}}}ем\n|prp-sg-f={{{основа}}}ей\n|prp-pl={{{основа}}}их\n|краткая={{{краткая|1}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа}}}ь}}}\n|srt-sg-n={{{srt-sg-n|{{{основа}}}е}}}\n|srt-sg-f={{{srt-sg-f|{{{основа}}}я}}}\n|srt-pl={{{srt-pl|{{{основа}}}и}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|2a}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'4967', 'Прил_ru_3a', '10', '8027', '20211009205232', '2021/10/09 20:52:32', '8014', '<noinclude>{{semiprotected|nocat=1}}</noinclude>\n{{прил\n|nom-sg-m={{{основа}}}ий\n|nom-sg-n={{{основа}}}ое\n|nom-sg-f={{{основа}}}ая\n|nom-pl={{{основа}}}ие\n|gen-sg-m={{{основа}}}ого\n|gen-sg-n={{{основа}}}ого\n|gen-sg-f={{{основа}}}ой\n|gen-pl={{{основа}}}их\n|dat-sg-m={{{основа}}}ому\n|dat-sg-n={{{основа}}}ому\n|dat-sg-f={{{основа}}}ой\n|dat-pl={{{основа}}}им\n|acc-sg-m-a={{{основа}}}ого\n|acc-sg-m-n={{{основа}}}ий\n|acc-sg-n={{{основа}}}ое\n|acc-sg-f={{{основа}}}ую\n|acc-pl-a={{{основа}}}их\n|acc-pl-n={{{основа}}}ие\n|ins-sg-m={{{основа}}}им\n|ins-sg-n={{{основа}}}им\n|ins-sg-f={{{основа}}}ой {{{основа}}}ою\n|ins-pl={{{основа}}}ими\n|prp-sg-m={{{основа}}}ом\n|prp-sg-n={{{основа}}}ом\n|prp-sg-f={{{основа}}}ой\n|prp-pl={{{основа}}}их\n|краткая={{{краткая|1}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа}}}}}}\n|srt-sg-n={{{srt-sg-n|{{{основа}}}о}}}\n|srt-sg-f={{{srt-sg-f|{{{основа}}}а}}}\n|srt-pl={{{srt-pl|{{{основа}}}и}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n|суфф={{{суфф|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|3a}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]\n</noinclude>', NULL
'4968', 'Прил_ru_4a', '10', '8028', '20211009223041', '2021/10/09 22:30:41', '8015', '{{прил\n|nom-sg-m={{{основа|{{{1}}}}}}ий\n|nom-sg-n={{{основа|{{{1}}}}}}ее\n|nom-sg-f={{{основа|{{{1}}}}}}ая\n|nom-pl={{{основа|{{{1}}}}}}ие\n|gen-sg-m={{{основа|{{{1}}}}}}его\n|gen-sg-n={{{основа|{{{1}}}}}}его\n|gen-sg-f={{{основа|{{{1}}}}}}ей\n|gen-pl={{{основа|{{{1}}}}}}их\n|dat-sg-m={{{основа|{{{1}}}}}}ему\n|dat-sg-n={{{основа|{{{1}}}}}}ему\n|dat-sg-f={{{основа|{{{1}}}}}}ей\n|dat-pl={{{основа|{{{1}}}}}}им\n|acc-sg-m-a={{{основа|{{{1}}}}}}его\n|acc-sg-m-n={{{основа|{{{1}}}}}}ий\n|acc-sg-n={{{основа|{{{1}}}}}}ее\n|acc-sg-f={{{основа|{{{1}}}}}}ую\n|acc-pl-a={{{основа|{{{1}}}}}}их\n|acc-pl-n={{{основа|{{{1}}}}}}ие\n|ins-sg-m={{{основа|{{{1}}}}}}им\n|ins-sg-n={{{основа|{{{1}}}}}}им\n|ins-sg-f={{{основа|{{{1}}}}}}ей{{{суфф|}}} {{{основа|{{{1}}}}}}ею\n|ins-pl={{{основа|{{{1}}}}}}ими\n|prp-sg-m={{{основа|{{{1}}}}}}ем\n|prp-sg-n={{{основа|{{{1}}}}}}ем\n|prp-sg-f={{{основа|{{{1}}}}}}ей\n|prp-pl={{{основа|{{{1}}}}}}их\n|краткая={{{краткая|}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа|{{{1}}}}}}}}}\n|srt-sg-n={{{srt-sg-n|{{{основа|{{{1}}}}}}е}}}\n|srt-sg-f={{{srt-sg-f|{{{основа|{{{1}}}}}}а}}}\n|srt-pl={{{srt-pl|{{{основа|{{{1}}}}}}и}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|суфф={{{суфф|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|4a}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'4969', 'Прил_ru_4a-ся', '10', '8029', '20211009223121', '2021/10/09 22:31:21', '8016', '{{прил ru 4a\n|краткая=\n|суфф=ся\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=4a\n|степень=\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'4993', 'Прил_ru_5a', '10', '8055', '20211009223609', '2021/10/09 22:36:09', '8042', '{{прил\n|nom-sg-m={{{основа}}}ый\n|nom-sg-n={{{основа}}}ее\n|nom-sg-f={{{основа}}}ая\n|nom-pl={{{основа}}}ые\n|gen-sg-m={{{основа}}}его\n|gen-sg-n={{{основа}}}его\n|gen-sg-f={{{основа}}}ей\n|gen-pl={{{основа}}}ых\n|dat-sg-m={{{основа}}}ему\n|dat-sg-n={{{основа}}}ему\n|dat-sg-f={{{основа}}}ей\n|dat-pl={{{основа}}}ым\n|acc-sg-m-a={{{основа}}}его\n|acc-sg-m-n={{{основа}}}ый\n|acc-sg-n={{{основа}}}ее\n|acc-sg-f={{{основа}}}ую\n|acc-pl-a={{{основа}}}ых\n|acc-pl-n={{{основа}}}ые\n|ins-sg-m={{{основа}}}ым\n|ins-sg-n={{{основа}}}ым\n|ins-sg-f={{{основа}}}ей {{{основа}}}ею\n|ins-pl={{{основа}}}ыми\n|prp-sg-m={{{основа}}}ем\n|prp-sg-n={{{основа}}}ем\n|prp-sg-f={{{основа}}}ей\n|prp-pl={{{основа}}}ых\n|краткая={{{краткая|1}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа}}}}}}\n|srt-sg-n={{{srt-sg-n|{{{основа}}}е}}}\n|srt-sg-f={{{srt-sg-f|{{{основа}}}а}}}\n|srt-pl={{{srt-pl|{{{основа}}}ы}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|суфф={{{суфф|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|5a}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'4995', 'Прил_ru_6a', '10', '8057', '20211009223723', '2021/10/09 22:37:23', '8044', '{{прил\n|nom-sg-m={{{основа}}}ий\n|nom-sg-n={{{основа}}}ее\n|nom-sg-f={{{основа}}}яя\n|nom-pl={{{основа}}}ие\n|gen-sg-m={{{основа}}}его\n|gen-sg-n={{{основа}}}его\n|gen-sg-f={{{основа}}}ей\n|gen-pl={{{основа}}}их\n|dat-sg-m={{{основа}}}ему\n|dat-sg-n={{{основа}}}ему\n|dat-sg-f={{{основа}}}ей\n|dat-pl={{{основа}}}им\n|acc-sg-m-a={{{основа}}}его\n|acc-sg-m-n={{{основа}}}ий\n|acc-sg-n={{{основа}}}ее\n|acc-sg-f={{{основа}}}юю\n|acc-pl-a={{{основа}}}их\n|acc-pl-n={{{основа}}}ие\n|ins-sg-m={{{основа}}}им\n|ins-sg-n={{{основа}}}им\n|ins-sg-f={{{основа}}}ей {{{основа}}}ею\n|ins-pl={{{основа}}}ими\n|prp-sg-m={{{основа}}}ем\n|prp-sg-n={{{основа}}}ем\n|prp-sg-f={{{основа}}}ей\n|prp-pl={{{основа}}}их\n|краткая={{{краткая|}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа}}}й}}}\n|srt-sg-n={{{srt-sg-n|{{{основа}}}е}}}\n|srt-sg-f={{{srt-sg-f|{{{основа}}}я}}}\n|srt-pl={{{srt-pl|{{{основа}}}и}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|6a}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'4997', 'Прил_ru_1b', '10', '8059', '20211009221119', '2021/10/09 22:11:19', '8046', '{{прил\n|nom-sg-m={{{основа}}}о́й\n|nom-sg-n={{{основа}}}о́е\n|nom-sg-f={{{основа}}}а́я\n|nom-pl={{{основа}}}ы́е\n|gen-sg-m={{{основа}}}о́го\n|gen-sg-n={{{основа}}}о́го\n|gen-sg-f={{{основа}}}о́й\n|gen-pl={{{основа}}}ы́х\n|dat-sg-m={{{основа}}}о́му\n|dat-sg-n={{{основа}}}о́му\n|dat-sg-f={{{основа}}}о́й\n|dat-pl={{{основа}}}ы́м\n|acc-sg-m-a={{{основа}}}о́го\n|acc-sg-m-n={{{основа}}}о́й\n|acc-sg-n={{{основа}}}о́е\n|acc-sg-f={{{основа}}}у́ю\n|acc-pl-a={{{основа}}}ы́х\n|acc-pl-n={{{основа}}}ы́е\n|ins-sg-m={{{основа}}}ы́м\n|ins-sg-n={{{основа}}}ы́м\n|ins-sg-f={{{основа}}}о́й {{{основа}}}о́ю\n|ins-pl={{{основа}}}ы́ми\n|prp-sg-m={{{основа}}}о́м\n|prp-sg-n={{{основа}}}о́м\n|prp-sg-f={{{основа}}}о́й\n|prp-pl={{{основа}}}ы́х\n|краткая={{{краткая|}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|{{{основа1}}}}}}\n|srt-sg-n={{{srt-sg-n|{{{основа}}}о́}}}\n|srt-sg-f={{{srt-sg-f|{{{основа}}}а́}}}\n|srt-pl={{{srt-pl|{{{основа}}}ы́}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n|суфф={{{суфф|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|1b}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'4999', 'Прил_ru_3b', '10', '8061', '20211009222532', '2021/10/09 22:25:32', '8048', '{{прил\n|nom-sg-m={{{основа}}}о́й\n|nom-sg-n={{{основа}}}о́е\n|nom-sg-f={{{основа}}}а́я\n|nom-pl={{{основа}}}и́е\n|gen-sg-m={{{основа}}}о́го\n|gen-sg-n={{{основа}}}о́го\n|gen-sg-f={{{основа}}}о́й\n|gen-pl={{{основа}}}и́х\n|dat-sg-m={{{основа}}}о́му\n|dat-sg-n={{{основа}}}о́му\n|dat-sg-f={{{основа}}}о́й\n|dat-pl={{{основа}}}и́м\n|acc-sg-m-a={{{основа}}}о́го\n|acc-sg-m-n={{{основа}}}о́й\n|acc-sg-n={{{основа}}}о́е\n|acc-sg-f={{{основа}}}у́ю\n|acc-pl-a={{{основа}}}и́х\n|acc-pl-n={{{основа}}}и́е\n|ins-sg-m={{{основа}}}и́м\n|ins-sg-n={{{основа}}}и́м\n|ins-sg-f={{{основа}}}о́й  {{{основа}}}о́ю\n|ins-pl={{{основа}}}и́ми\n|prp-sg-m={{{основа}}}о́м\n|prp-sg-n={{{основа}}}о́м\n|prp-sg-f={{{основа}}}о́й\n|prp-pl={{{основа}}}и́х\n|краткая={{{краткая|}}}\n|anim={{{anim|}}}\n|srt-sg-m={{{srt-sg-m|}}}\n|srt-sg-n={{{srt-sg-n|}}}\n|srt-sg-f={{{srt-sg-f|}}}\n|srt-pl={{{srt-pl|}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|суфф={{{суфф|}}}\n}}\n{{прил ru\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|зализняк={{{type|3b}}}\n|зализняк1={{{зализняк1|}}}\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5001', 'Прил_ru_1*b', '10', '8063', '20211009221149', '2021/10/09 22:11:49', '8050', '{{прил ru 1b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*b\n|степень={{{степень|[[{{{основа}}}ее|{{{основа}}}е́е]], [[{{{основа}}}ей|{{{основа}}}е́й]], [[по{{{основа}}}ее|по{{{основа}}}е́е]], [[по{{{основа}}}ей|по{{{основа}}}е́й]].}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5002', 'Прил_ru_1*a', '10', '8064', '20211009185409', '2021/10/09 18:54:09', '8051', '<noinclude>{{semiprotected|nocat=1}}</noinclude>{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|часть речи={{{часть речи|[[прилагательное|Прилагательное]]}}}\n|тип={{{тип|}}}\n|type=1*a\n|степень={{#switch:{{{степень|}}}|=|1={{{основа}}}ее, {{{основа}}}ей|{{{степень}}}}}\n|дореф={{{дореф|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5003', 'Прил_ru_1*a\'', '10', '8065', '20160203151209', '2016/02/03 15:12:09', '8052', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа}}}а<br>{{{основа2}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|часть речи={{{часть речи|Прилагательное}}}\n|тип={{{тип|}}}\n|type=1*a\'\n|степень={{{степень|{{{основа}}}е́е, {{{основа}}}е́й, по{{{основа}}}е́е, по{{{основа}}}е́й}}}\n|Категория={{{Категория|Прилагательные, склонение 1*a\'}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5062', 'Прил_ru_3*a', '10', '8124', '20211009205300', '2021/10/09 20:53:00', '8111', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5063', 'Прил_ru_3*a/c', '10', '8125', '20211009205324', '2021/10/09 20:53:24', '8112', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа2}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a/c\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5064', 'Прил_ru_3*a/c\'', '10', '8126', '20211009205338', '2021/10/09 20:53:38', '8113', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа}}}и<br>{{{основа2}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|тип={{{тип|}}}\n|type=3*a/c\'\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5065', 'Прил_ru_3*a/c\"', '10', '8127', '20211009205354', '2021/10/09 20:53:54', '8114', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа}}}о<br>{{{основа2}}}о́\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа}}}и<br>{{{основа2}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a/c\"\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
